黄金
白银
布伦特原油
WTI原油
上期所原油期货
OPEC
标普500
纳斯达克
道琼斯
恒生
沪指
深成指
美国10年期国债
中国10年期国债
美元指数
欧元/美元
美元/日元
英镑/美元
离岸人民币
在岸人民币
人民币中间价
美国GDP
美国季调后非农就业人口
美国当周初请失业金人数
美国ADP就业人数
美国Markit制造业PMI终值
美国ISM制造业PMI
美国耐用品订单月率
美国PCE物价指数
美国核心PPI
欧元区CPI
欧元区零售销售月率
欧元区GDP
欧元区贸易帐
财新制造业PMI
中国外汇储备
中国贸易帐
中国CPI
中国PPI
离岸人民币存款利率
Hibor
